House Salad,Main,7.50,Mixed Greens_ topped with bacon_ tomato & blue cheese crumbles
House Salad,Side,5.00,Mixed Greens_ topped with bacon_ tomato & blue cheese crumbles
Wedge Salad,Main,7.50,Iceberg lettuce wedge topped with bacon_ tomato & blue cheese crumbles
Caesar Salad,Side,5.00,Romaine lettuce_ shredded Parmesan cheese & croutons tossed in caesar dressing
Caesar Salad,Main,7.50,Romaine lettuce_ shredded Parmesan cheese & croutons tossed in caesar dressing
Sweet Potato Chicken Salad,Main,11.50,Mixed greens_ red onion_ dried cranberries & goat cheese crumbles topped with chilled sweet potato crusted chicken
For any Main Salad,Main,0,,Add: Avocado for $1.00,Add: Roasted Chicken for $3.00,Add: Captain Crunch Chicken for $3.00,Add: Portabello Mushroom Cap for $4.00,Add: Grilled Shrimp for $6.00,Add: Fried Shrimp for $6.00,Add: New York Strip for $6.00,Add: Seared Tuna for $10.00
