Bottled Water,Main,2.00,,
Coffee,Main,2.00,,
Sweet Tea,Main,2.00,,
Unsweet Tea,Main,2.00,,
Barq’s Root Beer,Main,2.00,,*Can Only
Coke,Main,2.00,,
Diet Coke,Main,2.00,,
Mr. Pibb,Main,2.00,,
Sprite,Main,2.00,,
Ginger Ale,Main,2.00,,
Lemonade,Main,2.00,,
Milk,Main,2.00,,
Chocolate Milk,Main,2.00,,
Orange Juice,Main,2.00,,
