all burgers served with 1 side,Main,
J’s Burger,Main,10.00,8-ounce burger on a brioche bun,Add cheese (+0.50)
Bacon Cheeseburger,Main,11.00,8 ounce burger topped with bacon & your choice of,cheddar_ American_ Swiss_ provolone_ pepper jack_ blue cheese or pimento cheese on a brioche bun
Mushroom Swiss Burger,Main,11.00,8-ounce burger topped with sautéed mushrooms & Swiss cheese on a brioche bun
Carolina Burger,Main,11.00,8-ounce burger topped with chili_ diced onions & slaw on a brioche bun.,Lettuce tomato & onion by request
Portobello Burger (V),Main,8.50,Marinated Portobello mushroom cap topped with mango salsa_ lettuce_ tomato & onion on a telera bun
Vegan Boca Burger (V),Main,10.50,Vegan Boca Burger topped with lettuce_ tomato & onion on a telera bun
